"the_geom","Group_Id","WorksiteNa","Address","Latitude","Longitude","City","Origin_Des","EmployerID","WorksiteID"
"POINT (-122.33859039999999 47.61148900000006)","5,076","Amazon - Ivy","300 Pine St, Seattle, WA 98101, USA","47.611489","-122.3385904","Seattle","Destination","9840","5314"
"POINT (-122.19585059999997 47.61339590000006)","5,078","Amazon - Nessie","320 108th Ave NE, Bellevue, WA 98004, USA","47.6133959","-122.1958506","Bellevue","Destination","9840","5164"
"POINT (-122.33598949999998 47.615687800000046)","5,086","Amazon - Blackfoot","1918 8th Ave, Seattle, WA 98101, USA","47.6156878","-122.3359895","Seattle","Destination","9840","4396"
"POINT (-122.33752219999997 47.62406740000006)","5,087","Amazon - Wainwright","535 Terry Ave N, Seattle, WA 98109, USA","47.6240674","-122.3375222","Seattle","Destination","9840","5161"
"POINT (-122.33016949999995 47.617462000000046)","5,091","Amazon - Day 1","1220 Howell St, Seattle, WA 98101, USA","47.617462","-122.3301695","Seattle","Destination","9840","5158"
"POINT (-122.33745699999997 47.71229800000003)","5,097","Northwest Hospital","1550 N 115th St, Seattle, WA 98133, USA","47.712298","-122.337457","Seattle","Destination","6013","700"
"POINT (-122.33867399999997 47.616720100000066)","5,142","Amazon - re:Invent","2121 8th Ave, Seattle, WA 98121, USA","47.6167201","-122.338674","Seattle","Destination","9840","5486"
"POINT (-122.33823559999996 47.61530820000007)","5,148","Amazon - Day 1","2021 7th Ave, Seattle, WA 98121, USA","47.6153082","-122.3382356","Seattle","Destination","9840","5158"
"POINT (-122.33982749999996 47.61624800000004)","5,168","Amazon - Day 1","2121 7th Ave, Seattle, WA 98121, USA","47.616248","-122.3398275","Seattle","Destination","9840","5158"
"POINT (-122.03419519999994 47.53032170000006)","5,207","City of Issaquah - City Hall","130 E Sunset Way, Issaquah, WA 98027, USA","47.5303217","-122.0341952","Issaquah","Destination","5024","4551"
"POINT (-122.13355249999995 47.64899440000005)","5,217","Microsoft - Bldg 83","4480 154th Pl NE, Redmond, WA 98052, USA","47.6489944","-122.1335525","Redmond","Destination","1024","5025"
"POINT (-122.18764399999998 47.63640000000004)","5,221","City of Bellevue - Service Center","2901 115th Ave NE, Bellevue, WA 98004, USA","47.6364","-122.187644","Bellevue","Destination","5014","3536"
"POINT (-122.36047159999998 47.61982720000003)","5,227","Omeros","Waterfront Research Center, 201 Elliott Ave W, Seattle, WA 98119, USA","47.6198272","-122.3604716","Seattle","Destination","11339","4624"
"POINT (-122.27063399999997 47.920187000000055)","5,248","Boeing Everett Plant","3003 W Casino Rd, Everett, WA 98203, USA","47.920187","-122.270634","Everett","Destination","2013","62"
"POINT (-122.33751769999998 47.62347450000004)","5,250","University of Washington-SLU","Rosen Building, 960 Republican St, Seattle, WA 98109, USA","47.6234745","-122.3375177","Seattle","Destination","7001","4602"
"POINT (-122.13691769999997 47.64776260000008)","5,255","Wipro - Microsoft Bldg 121","15220 NE 40th St, Redmond, WA 98052, USA","47.6477626","-122.1369177","Redmond","Destination","11376","5667"
"POINT (-122.33623789999996 47.62123060000005)","5,261","Amazon.com - Ruby","333 Boren Ave N, Seattle, WA 98109, USA","47.6212306","-122.3362379","Seattle","Destination","9840","5166"
"POINT (-122.33597719999995 47.615682400000026)","5,270","Amazon - Blackfoot","1918 8th Ave, Seattle, WA 98101, USA","47.6156824","-122.3359772","Seattle","Destination","9840","4396"
"POINT (-122.19574779999999 47.61501070000003)","5,271","Microsoft - City Center","500 108th Ave NE, Bellevue, WA 98004, USA","47.6150107","-122.1957478","Bellevue","Destination","1024","4246"
"POINT (-122.3355709 47.62400710000003)","5,277","Amazon - Everest","500 Boren Ave N, Seattle, WA 98109, USA","47.6240071","-122.3355709","Seattle","Destination","9840","5260"
"POINT (-122.33673519999996 47.62391660000003)","5,279","Amazon - Rufus","550 Terry Ave N, Seattle, WA 98109, USA","47.6239166","-122.3367352","Seattle","Destination","9840","5167"
"POINT (-122.36271799999997 47.62216200000006)","5,288","F5 Networks - Tower","401 Elliott Ave W, Seattle, WA 98119, USA","47.622162","-122.362718","Seattle","Destination","10687","5415"
"POINT (-122.05030899999997 47.54974000000004)","5,289","Costco - 999 Lake Dr","999 Lake Dr, Issaquah, WA 98027, USA","47.54974","-122.050309","Issaquah","Destination","4424","1100"
"POINT (-122.25369409999996 47.84629640000003)","5,290","Crane Aerospace & Electronics","16700 13th Ave W, Lynnwood, WA 98037, USA","47.8462964","-122.2536941","Lynnwood","Destination","3014","4835"
"POINT (-122.33745699999997 47.71229800000003)","5,291","Northwest Hospital","1550 N 115th St, Seattle, WA 98133, USA","47.712298","-122.337457","Seattle","Destination","6013","700"
"POINT (-122.12971329999999 47.58349040000007)","5,294","Microsoft - Advanta A","Microsoft Advanta C, 3003 160th Ave SE, Bellevue, WA 98008, USA","47.5834904","-122.1297133","Bellevue","Destination","1024","3906"
"POINT (-122.33941619999996 47.62273940000006)","5,299","Amazon - Brazil","400 9th Ave N, Seattle, WA 98109, USA","47.6227394","-122.3394162","Seattle","Destination","9840","5133"
"POINT (-122.33677539999996 47.622460200000035)","5,308","Amazon - Amelia","410 Terry Ave N, Seattle, WA 98109, USA","47.6224602","-122.3367754","Seattle","Destination","9840","5171"
"POINT (-122.33896309999994 47.61668300000008)","5,312","Amazon - Nitro North","2121 8th Ave, Seattle, WA 98121, USA","47.616683","-122.3389631","Seattle","Destination","9840","5601"
"POINT (-122.29700399999996 47.57103200000006)","5,318","Asian Counseling and Referral Service","3639 Martin Luther King Jr Way S, Seattle, WA 98144, USA","47.571032","-122.297004","Seattle","Destination","11169","4414"
"POINT (-122.33433699999995 47.61321950000007)","5,333","Amazon - Charisma","CenturyLink Plaza, 1600 7th Ave, Seattle, WA 98101, USA","47.6132195","-122.334337","Seattle","Destination","9840","5346"
"POINT (-122.1473322 47.63047400000005)","5,337","Tata Consulting Group","14335 NE 24th St, Bellevue, WA 98007, USA","47.630474","-122.1473322","Bellevue","Destination","11769","5217"
"POINT (-122.33597719999995 47.615682400000026)","5,338","Amazon - Blackfoot","1918 8th Ave, Seattle, WA 98101, USA","47.6156824","-122.3359772","Seattle","Destination","9840","4396"
"POINT (-122.19398089999999 47.61498410000007)","5,344","Microsoft - City Center Plaza","555 110th Ave NE, Bellevue, WA 98004, USA","47.6149841","-122.1939809","Bellevue","Destination","1024","5269"
"POINT (-122.33721839999998 47.61575800000003)","5,355","Amazon - Port 99","2001 8th Ave, Seattle, WA 98121, USA","47.615758","-122.3372184","Seattle","Destination","9840","4459"
