Name,Estimates,2020,2021,2022,2023,2024
"Othello city, Washington","8,548","8,558","8,685","8,856","8,899","9,001"
"Pacific city, Washington","7,240","7,238","7,115","7,040","7,019","7,085"
"Palouse city, Washington","1,020","1,014","1,006","1,010","1,017","1,029"
"Pasco city, Washington","77,345","77,686","78,762","79,351","80,343","81,724"
"Pateros city, Washington",593,593,599,605,615,626
"Pe Ell town, Washington",644,648,659,660,669,671
"Pomeroy city, Washington","1,398","1,403","1,434","1,435","1,435","1,471"
"Port Angeles city, Washington","19,958","20,002","20,293","20,143","20,067","20,112"
"Port Orchard city, Washington","15,596","15,629","15,900","16,954","18,130","19,122"
"Port Townsend city, Washington","10,145","10,171","10,372","10,445","10,573","10,649"
"Poulsbo city, Washington","11,967","11,975","11,967","12,089","12,188","12,562"
"Prescott city, Washington",371,371,372,367,362,364
"Prosser city, Washington","6,137","6,146","6,209","6,250","6,380","6,540"
"Pullman city, Washington","32,905","32,857","28,621","33,010","33,163","33,543"
"Puyallup city, Washington","42,977","43,037","43,015","42,712","42,484","42,552"
"Quincy city, Washington","7,545","7,634","7,838","8,014","8,187","8,294"
"Rainier city, Washington","2,366","2,385","2,475","2,466","2,475","2,506"
"Raymond city, Washington","3,083","3,096","3,205","3,224","3,220","3,228"
"Reardan town, Washington",646,650,665,680,684,688
"Redmond city, Washington","73,269","73,374","74,989","76,503","79,690","82,195"
"Renton city, Washington","106,849","106,734","105,302","104,405","104,551","105,543"
"Republic city, Washington",981,982,996,"1,009","1,012","1,020"
"Richland city, Washington","60,575","60,892","61,961","62,829","63,685","64,372"
"Ridgefield city, Washington","10,363","10,872","12,235","13,851","14,743","15,359"
"Ritzville city, Washington","1,749","1,744","1,722","1,717","1,709","1,709"
"Riverside town, Washington",324,324,328,328,333,340
"Rockford town, Washington",523,526,545,582,614,627
"Rock Island city, Washington","1,275","1,289","1,358","1,470","1,624","1,722"
"Rosalia town, Washington",595,592,574,575,577,578
"Roslyn city, Washington",955,961,976,971,969,960
"Roy city, Washington",822,822,818,806,801,803
"Royal City city, Washington","1,778","1,784","1,847","1,874","1,897","1,907"
"Ruston city, Washington","1,055","1,055","1,053","1,040","1,034","1,048"
"St. John town, Washington",600,597,579,579,581,590
"Sammamish city, Washington","67,458","67,449","66,573","65,964","65,857","66,474"
"SeaTac city, Washington","31,439","31,387","31,597","32,012","33,152","34,024"
"Seattle city, Washington","737,020","740,600","733,700","751,454","764,182","780,995"
"Sedro-Woolley city, Washington","12,430","12,462","12,589","12,880","12,992","13,215"
"Selah city, Washington","8,178","8,189","8,230","8,479","8,627","8,653"
"Sequim city, Washington","8,031","8,070","8,200","8,200","8,186","8,199"
"Shelton city, Washington","10,371","10,436","10,650","10,688","10,655","10,737"
"Shoreline city, Washington","58,609","58,820","59,250","60,349","62,527","66,251"
"Skykomish town, Washington",162,162,159,158,157,158
"Snohomish city, Washington","10,123","10,173","10,144","10,134","10,244","10,534"
"Snoqualmie city, Washington","14,106","14,084","13,829","13,693","13,651","13,748"
"Soap Lake city, Washington","1,698","1,701","1,720","1,729","1,744","1,780"
"South Bend city, Washington","1,744","1,753","1,783","1,780","1,795","1,801"
"South Cle Elum town, Washington",560,561,572,571,569,572
"South Prairie town, Washington",373,373,371,368,365,367
"Spangle city, Washington",280,282,285,282,281,278
"Spokane city, Washington","228,973","229,205","230,542","230,777","230,193","230,609"
"Spokane Valley city, Washington","103,094","103,647","105,443","106,768","107,665","108,267"
"Sprague city, Washington",501,505,518,528,527,525
"Springdale town, Washington",236,239,244,320,356,360
"Stanwood city, Washington","7,725","7,798","8,056","8,407","8,719","8,943"
"Starbuck town, Washington",119,119,120,133,138,138
"Steilacoom town, Washington","6,731","6,739","6,736","6,680","6,636","6,649"
"Stevenson city, Washington","1,485","1,491","1,525","1,567","1,590","1,598"
"Sultan city, Washington","5,165","5,168","5,657","6,231","6,547","7,002"
"Sumas city, Washington","1,584","1,607","1,625","1,642","1,665","1,683"
"Sumner city, Washington","10,627","10,661","10,714","10,632","10,787","10,885"
"Sunnyside city, Washington","16,384","16,396","16,302","16,179","16,204","16,317"
"Tacoma city, Washington","219,210","219,756","219,938","220,993","224,886","228,202"
"Tekoa city, Washington",819,813,790,791,799,809
"Tenino city, Washington","1,873","1,875","1,936","1,927","1,944","1,956"
"Tieton city, Washington","1,387","1,386","1,500","1,535","1,559","1,610"
"Toledo city, Washington",632,636,648,732,764,767
"Tonasket city, Washington","1,102","1,101","1,108","1,110","1,119","1,133"
"Toppenish city, Washington","8,849","8,825","8,769","8,667","8,664","8,658"
"Tukwila city, Washington","21,780","21,748","21,408","21,198","21,310","21,636"
"Tumwater city, Washington","26,044","26,143","26,828","26,765","27,175","27,826"
"Twisp town, Washington",995,998,"1,028","1,050","1,069","1,112"
"Union Gap city, Washington","6,568","6,553","6,603","6,593","6,585","6,582"
"Uniontown town, Washington",392,391,379,383,389,396
"University Place city, Washington","34,872","34,904","34,941","34,642","34,946","35,160"
"Vader city, Washington",618,620,652,669,673,690
"Vancouver city, Washington","190,887","191,284","193,475","194,995","197,733","198,992"
"Waitsburg city, Washington","1,162","1,165","1,170","1,161","1,168","1,173"
"Walla Walla city, Washington","34,275","34,275","33,855","33,829","33,749","33,901"
"Wapato city, Washington","4,607","4,594","4,558","4,524","4,499","4,492"
"Warden city, Washington","2,448","2,457","2,479","2,560","2,671","2,806"
"Washougal city, Washington","17,046","17,051","17,143","17,535","17,730","17,944"
"Washtucna town, Washington",206,205,203,202,200,199
"Waterville town, Washington","1,133","1,130","1,142","1,131","1,141","1,148"
"Waverly town, Washington",122,122,122,123,122,123
"Wenatchee city, Washington","35,626","35,605","35,619","35,501","35,328","35,401"
"Westport city, Washington","2,216","2,222","2,254","2,271","2,307","2,341"
"West Richland city, Washington","16,300","16,387","17,115","17,558","18,048","18,820"
"White Salmon city, Washington","2,490","2,503","2,539","2,538","2,570","2,605"
"Wilbur town, Washington",894,896,918,930,927,926
"Wilkeson town, Washington",497,500,494,487,485,488
"Wilson Creek town, Washington",207,207,205,204,204,204
"Winlock city, Washington","1,818","1,834","1,944","2,123","2,305","2,515"
"Winthrop town, Washington",501,506,527,552,580,603
"Woodinville city, Washington","13,064","13,475","13,228","13,110","13,396","13,942"
"Woodland city, Washington","6,529","6,547","6,545","6,512","6,483","6,496"
"Woodway city, Washington","1,315","1,316","1,318","1,317","1,319","1,323"
"Yacolt town, Washington","1,671","1,674","1,673","1,653","1,641","1,644"
"Yakima city, Washington","96,992","97,084","96,793","96,622","96,904","97,390"
"Yarrow Point town, Washington","1,134","1,132","1,117","1,120","1,120","1,134"
"Yelm city, Washington","10,658","10,700","10,755","10,981","11,235","11,715"
"Zillah city, Washington","3,173","3,170","3,147","3,133","3,124","3,123"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).    ",,,,,,
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution and Post-Census Group Quarters Review programs, geographic program revisions, and the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,,,
Suggested Citation:,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Washington: April 1, 2020 to July 1, 2024 (SUB-IP-EST2024-POP-53)",,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Release Date: May 2025,,,,,,
