name,population
Otis Orchards-East Farms CDP,"5,454"
Outlook CDP,594
Oyehut CDP,111
Pacific Beach CDP,0
Pacific city,"7,066"
Packwood CDP,99
Palouse city,"1,147"
Parker CDP,116
Parkland CDP,"38,742"
Parkwood CDP,"6,873"
Pasco city,"79,575"
Pataha CDP,71
Pateros city,583
Pe Ell town,538
Peaceful Valley CDP,"2,858"
Picnic Point CDP,"10,261"
Pine Grove CDP,0
Point Roberts CDP,"1,288"
Pomeroy city,"1,354"
Port Angeles East CDP,"3,137"
Port Angeles city,"20,118"
Port Gamble Tribal Community CDP,624
Port Hadlock-Irondale CDP,"3,884"
Port Ludlow CDP,"2,891"
Port Orchard city,"17,149"
Port Townsend city,"10,438"
Porter CDP,155
Poulsbo city,"12,165"
Prairie Heights CDP,"4,998"
Prairie Ridge CDP,"12,074"
Prescott city,389
Prosser city,"6,305"
Puget Island CDP,"1,008"
Pullman city,"32,229"
Purdy CDP,"1,344"
Puyallup city,"42,746"
Queets CDP,55
Qui-nai-elt Village CDP,134
Quilcene CDP,362
Quincy city,"7,998"
Raft Island CDP,333
Rainier city,"2,455"
Ravensdale CDP,198
Raymond city,"3,210"
Reardan town,726
Redmond city,"77,353"
Renton city,"105,317"
Republic city,984
Richland city,"62,753"
Ridgefield city,"13,408"
Ritzville city,"1,855"
River Road CDP,756
Riverbend CDP,"1,748"
Riverpoint CDP,831
Riverside town,471
Roche Harbor CDP,778
Rochester CDP,"5,834"
Rock Island city,"1,251"
Rockford town,493
Rockport CDP,95
Rocky Point CDP,"1,716"
Ronald CDP,119
Roosevelt CDP,200
Rosalia town,513
Rosburg CDP,528
Rosedale CDP,"4,208"
Roslyn city,"1,076"
Roy city,735
Royal City city,"1,683"
Ruston city,"1,245"
Ryderwood CDP,401
Salmon Creek CDP,"20,017"
Sammamish city,"66,463"
Santiago CDP,96
Satsop CDP,780
Schwana CDP,387
SeaTac city,"32,414"
Seabeck CDP,787
Seattle city,"754,195"
Sedro-Woolley city,"12,831"
Sekiu CDP,0
Selah city,"8,437"
Sequim city,"8,161"
Shadow Lake CDP,"2,465"
Shelton city,"10,612"
Shoreline city,"61,431"
Silvana CDP,0
Silver Firs CDP,"22,306"
Silverdale CDP,"20,685"
Sisco Heights CDP,"3,015"
Skamokawa Valley CDP,352
Skokomish CDP,560
Skykomish town,92
Snohomish city,"10,239"
Snoqualmie Pass CDP,428
Snoqualmie city,"13,798"
Soap Lake city,"1,508"
South Bend city,"1,869"
South Cle Elum town,579
South Creek CDP,"2,191"
South Hill CDP,"68,025"
South Prairie town,309
South Wenatchee CDP,"1,226"
Southworth CDP,"2,286"
Spanaway CDP,"34,019"
Spangle city,322
Spokane Valley city,"106,365"
Spokane city,"230,293"
Sprague city,583
Springdale town,451
St. John town,607
Stansberry Lake CDP,"1,807"
Stanwood city,"8,373"
Starbuck town,93
Startup CDP,555
Steilacoom town,"6,686"
Steptoe CDP,162
Stevenson city,"1,603"
Sudden Valley CDP,"6,084"
Sultan city,"6,116"
Sumas city,"1,512"
Summit CDP,"8,791"
Summit View CDP,"8,480"
Summitview CDP,"2,321"
Sumner city,"10,733"
Suncrest CDP,"5,345"
Sunday Lake CDP,"1,375"
Sunland Estates CDP,91
Sunnyside city,"16,277"
Sunnyslope CDP,"3,706"
Suquamish CDP,"4,084"
Swede Heaven CDP,746
Tacoma city,"222,758"
Taholah CDP,833
Tampico CDP,604
Tanglewilde CDP,"6,314"
Tehaleh CDP,"9,561"
Tekoa city,690
Tenino city,"2,025"
Terrace Heights CDP,"10,041"
Thorp CDP,230
Three Lakes CDP,"4,055"
Tieton city,"1,597"
Tokeland CDP,122
Toledo city,542
Tonasket city,993
Toppenish city,"8,723"
Torboy CDP,53
Touchet CDP,558
Town and Country CDP,"4,890"
Tracyton CDP,"6,137"
Trout Lake CDP,720
Tukwila city,"21,451"
Tumwater city,"26,956"
Twin Lakes CDP,115
Twisp town,"1,179"
Union CDP,457
Union Gap city,"6,584"
Union Hill-Novelty Hill CDP,"23,047"
Uniontown town,400
University Place city,"34,911"
Upper Elochoman CDP,49
Vader city,745
Valley CDP,135
Vancouver city,"195,300"
Vantage CDP,0
Vashon CDP,"9,934"
Vaughn CDP,753
Venersborg CDP,"4,262"
Verlot CDP,224
Waitsburg city,"1,083"
Walla Walla East CDP,"2,099"
Walla Walla city,"33,925"
Waller CDP,"7,683"
Wallula CDP,145
Wapato city,"4,538"
Warden city,"2,581"
Warm Beach CDP,"3,442"
Washougal city,"17,490"
Washtucna town,292
Waterville town,"1,250"
Wauna CDP,"4,805"
Waverly town,166
Wenatchee city,"35,484"
West Clarkston-Highland CDP,"5,444"
West Pasco CDP,"1,122"
West Richland city,"17,586"
Westport city,"2,217"
Wheeler CDP,230
